,0
0,64.657
1,255.28362
2,8.748156
3,69.50549
4,83.66969
5,75.634094
6,4.031999
7,76.01135
8,3.9340303
9,73.705
10,3.5330377
11,41.983738
12,24.001627
13,45.527016
14,20.688917
15,74.861336
16,69.46175
17,48.971054
18,82.28636
19,244.4476
20,51.153893
21,8.618702
22,4.9556146
23,41.878796
24,70.99016
25,63.619095
26,109.58984
27,57.33648
28,73.67019
29,86.057495
30,67.944145
31,28.714523
32,4.4246807
33,7.6799717
34,21.789845
35,133.92564
36,5.756635
37,72.83873
38,7.0989785
39,50.408585
40,74.55592
41,70.30647
42,4.5736933
43,42.25669
44,74.66793
45,39.035774
46,69.96061
47,50.600655
48,93.56075
49,66.26549
50,227.56357
51,68.68252
52,70.02996
53,48.165535
54,82.6567
55,34.103874
56,79.61017
57,39.914524
58,44.623398
59,73.30329
60,5.128117
61,45.405365
62,72.77861
63,82.570984
64,70.399445
65,41.279755
66,77.81067
67,77.027435
68,107.24254
69,26.91496
70,221.43773
71,83.73986
72,71.759285
73,5.45796
74,24.540562
75,139.82227
76,3.4561925
77,75.06598
78,69.186165
79,73.19725
80,71.978645
81,81.82975
82,19.806955
83,25.00051
84,4.073084
85,21.447826
86,46.355675
87,68.98454
88,62.952503
89,55.66947
90,75.91463
91,84.904755
92,10.190562
93,19.328451
94,35.95903
95,51.199192
96,64.8949
97,72.20262
98,81.85652
99,5.530489
100,240.78954
101,3.8402278
102,63.573517
103,81.0863
104,3.3615677
105,6.4462924
106,73.29128
107,45.161102
108,4.9899955
109,3.733066
110,33.625328
111,3.0420976
112,7.660782
113,55.786503
114,61.60948
115,57.13561
116,202.78578
117,3.5270686
118,51.53582
119,4.862677
120,163.83902
121,24.951582
122,41.90155
123,51.383797
124,43.742653
125,65.89841
126,50.33941
127,64.48541
128,5.7993116
129,44.93589
130,29.717638
131,290.915
132,29.071066
133,266.84183
134,82.614716
135,70.74773
136,3.7227845
137,224.41255
138,62.69945
139,39.470337
140,65.61986
141,70.642944
142,84.107506
143,3.6884997
144,33.715553
145,85.072754
146,34.755856
147,75.14355
148,61.293205
149,14.586907
150,6.881516
151,29.983992
152,13.2926655
153,81.33866
154,47.565834
155,30.308336
156,4.774834
157,37.864464
158,73.43054
159,39.60971
160,53.419983
161,3.5742984
162,3.728226
163,24.192476
164,5.63527
165,21.189217
166,6.184843
167,7.788815
168,21.40233
169,42.47227
170,38.58377
171,62.740376
172,7.4939556
173,21.156805
174,8.026562
175,4.5205503
176,77.335
177,80.873795
178,17.020725
179,23.332293
180,174.78954
181,8.464101
182,58.542484
183,82.28015
184,4.061637
185,192.884
186,19.02484
187,279.66388
188,38.978233
189,57.394325
190,26.667664
191,78.286285
192,69.8024
193,28.480268
194,75.603775
195,5.2758136
196,25.717886
197,61.96467
198,129.73573
199,62.013977
200,50.0873
201,199.36133
202,3.8145292
203,82.30633
204,32.71474
205,40.785645
206,78.90817
207,5.8128233
208,8.076
209,64.08927
210,43.80317
211,4.099163
212,5.800089
213,11.592836
214,43.216476
215,59.966118
216,42.183914
217,6.543817
218,70.9023
219,75.79393
220,24.527021
221,108.55735
222,55.655598
223,64.23416
224,10.558702
225,78.2184
226,39.734924
227,54.502674
228,47.229137
229,24.699661
230,81.92898
231,18.676046
232,33.752567
233,261.46286
234,65.23985
235,91.902084
236,9.859137
237,4.379851
238,5.5101647
239,16.811146
240,191.09886
241,20.135508
242,39.466576
243,4.537308
244,64.99209
245,8.71123
246,77.76326
247,77.06258
248,26.9451
249,61.825764
250,22.042002
251,62.122894
252,11.163149
253,46.64314
254,35.594124
255,64.85754
256,62.96978
257,34.751427
258,60.92945
259,4.526793
260,58.718277
261,77.90344
262,79.05545
263,44.109703
264,49.52036
265,28.96083
266,51.4106
267,3.9564884
268,3.464346
269,78.853226
270,84.084915
271,70.10256
272,67.035614
273,77.43535
274,23.906248
275,254.94513
276,11.9446125
277,5.236714
278,3.417297
279,278.38177
280,43.381763
281,14.894635
282,15.352194
283,6.36887
284,169.84706
285,49.769157
286,147.08777
287,138.36073
288,11.945469
289,11.242525
290,57.670547
291,43.179737
292,8.33658
293,13.287789
294,16.116146
295,72.429016
296,6.6429987
297,31.959286
298,3.7684445
299,64.77045
300,39.28266
301,3.320002
302,63.54487
303,10.310546
304,73.82269
305,9.170585
306,40.466084
307,13.98173
308,50.441807
309,53.757275
310,277.19678
311,47.211838
312,203.11559
313,99.50581
314,4.7129726
315,37.74807
316,5.7892523
317,124.44692
318,81.83766
319,72.844345
320,39.6068
321,58.48899
322,3.2190688
323,4.320168
324,72.70967
325,42.36641
326,89.77463
327,58.165363
328,37.211426
329,51.058502
330,3.305995
331,3.874796
332,180.26065
333,202.78874
334,25.54894
335,41.609577
336,9.345392
337,27.33072
338,74.96507
339,63.603836
340,38.254326
341,5.9344134
342,78.07735
343,78.408066
344,64.72807
345,229.42137
346,24.22547
347,3.5211973
348,274.63232
349,29.280779
350,5.1242857
351,77.754074
352,26.987074
353,31.429483
354,9.78719
355,41.788002
356,40.860226
357,37.338715
358,9.160704
359,64.69591
360,86.37196
361,170.1928
362,45.848457
363,25.389612
364,38.772987
365,217.71127
366,224.79665
367,20.42571
368,49.169243
369,49.2018
370,79.055786
371,4.8268623
372,59.10125
373,228.53044
374,102.87458
375,150.70416
376,69.55797
377,14.621927
378,116.001434
379,43.68163
380,3.9109108
381,47.460564
382,24.280867
383,4.782691
384,277.38394
385,56.20156
386,6.3079214
387,4.051332
388,73.18634
389,4.5918984
390,36.514732
391,45.885048
392,20.436205
393,174.62367
394,98.2207
395,53.870373
396,41.782784
397,75.610565
398,7.2509656
399,43.38808
400,22.341322
401,79.86044
402,28.512506
403,49.57617
404,55.648666
405,51.36594
406,40.33927
407,66.492325
408,11.524052
409,30.601576
410,71.10658
411,23.597294
412,274.272
413,4.3679132
414,13.749418
415,271.26187
416,37.7617
417,4.1794705
418,40.68213
419,52.57448
420,208.69333
421,16.264645
422,24.275412
423,55.754913
424,59.341316
425,71.906395
426,28.016941
427,78.00993
428,14.232237
429,6.4485855
430,60.85659
431,4.848837
432,81.31584
433,140.74333
434,36.686626
435,54.967823
436,3.5360913
437,67.04646
438,82.729095
439,45.209568
440,65.962105
441,12.632017
442,80.89979
443,36.641212
444,56.035275
445,5.304186
446,14.289435
447,7.281352
448,3.341199
449,47.979115
450,18.449213
451,4.297514
452,290.28152
453,4.1889725
454,61.453278
455,57.974976
456,75.99579
457,42.70015
458,63.47661
459,211.90437
